AH,RI,Temp_Diff,RI_Max,WS_Max,Hour
3.97618916,0.176318894,-0.05,0.192759820348084,2.00836383,6
4.439363689,0.0,0.25,0.0,0.790014963,12
4.647545818,0.093617819,0.0,0.0949154730103692,5.83762518,0
4.273445678,0.115701844,0.2,0.120372758719157,1.716759414,8
4.729478833,0.275888206,-0.2,0.278410239022275,5.45623833,0
4.675128445,0.064843875,-0.345,0.07122086230162,2.822481635,5
4.199787397,0.046444957,0.4,0.0485301914847623,0.442729837,12
3.994494709,0.127589083,0.1,0.138529544961258,0.141655666,6
3.937151587,0.155263372,-0.1,0.156727482616116,1.039462342,15
4.030846359,0.0,0.09,0.0,2.361998633,11
4.005510457,0.0,-0.35,0.0,2.494236715,5
4.796177583,0.093102125,0.0,0.101799687381679,5.914496676,0
4.029554183,0.363224441,0.1,0.384019542698779,0.888558846,6
4.823681895,0.0,-2.397,0.0,2.393006694,4
3.924851189,0.0617595,-0.155,0.0618218745927412,2.273196262,15
4.351938966,0.412998011,-2.5,0.446257616759191,3.442895376,22
4.325647156,0.013003403,0.2,0.0137237859741684,0.451198623,12
4.373581769,0.029062483,0.3,0.0318249830174069,1.894337785,12
4.008273145,0.008969793,0.4,0.0094326341309785,2.017971867,11
4.255687731,0.115206837,0.378,0.120615971657362,1.935722146,12
4.774774171,0.243627061,-0.115,0.265175788175686,4.281258474,23
3.445673805,0.0,-0.048,0.0,3.119565591,3
4.349864649,0.0,0.4,0.0,0.950523988,8
4.300239362,0.0,0.238,0.0,0.74844461,8
4.632550505,0.059800854,-0.185,0.0642579026815841,2.948931884,23
4.337945069,0.0,0.133,0.0,0.523049181,12
3.964582871,0.0,0.0,0.0,1.348418952,4
3.903895359,0.0,0.2,0.0,1.335516785,10
3.93504534,0.007959424,0.6,0.0083496207550795,0.463866689,8
3.993386409,0.0,0.2,0.0,1.604109634,6
3.772609458,0.0,0.3,0.0,2.441866407,9
3.579365379,0.0,0.1,0.0,0.105385646,21
4.761635992,0.236484521,0.1,0.253128620788283,3.894475891,1
3.989160922,0.209447285,0.072,0.216641243630221,0.584111954,6
4.228629423,0.0,0.4,0.0,0.972654322,8
3.973137802,0.039567792,0.2,0.0408840458044599,1.892068966,6
4.641514935,0.431722176,-2.112,0.459845940514123,3.815707028,22
4.670933407,0.0,-1.1,0.0,4.91951889,23
3.937759133,0.0,0.0,0.0,1.053819718,15
4.433779517,0.0,0.133,0.0,0.512905067,12
4.402173649,0.011188564,0.35,0.0122897462248482,0.91614916,13
4.35961866,0.0,0.25,0.0,0.792128142,12
4.633788835,0.162287185,-0.293,0.163339816115243,7.082288907,0
3.91123597,0.022934447,0.087,0.0251940210548743,2.502936059,4
4.166747146,0.072195007,0.4,0.0737619430056541,1.931076904,11
3.927221481,0.311257714,0.6,0.320354633622752,0.930594236,6
4.581304569,0.15500305,-2.2,0.156445783686833,4.030133781,22
4.036923051,0.003984779,0.3,0.0040730943907637,1.118124588,11
4.471653989,0.0,0.287,0.0,0.516022205,13
3.924760598,0.136728766,0.1,0.140636923017296,2.518423488,6
